loss,val_loss,r2
281.9151,309.3481,-0.2404
236.4701,215.9593,0.1341
222.8719,212.2881,0.1488
208.2571,194.5434,0.2199
198.0232,188.9685,0.2423
193.1292,191.6700,0.2315
182.5656,165.5293,0.3363
175.7985,167.5539,0.3282
167.2528,147.2599,0.4095
158.6795,143.6443,0.4240
141.7924,123.9619,0.5029
135.9610,122.4555,0.5090
135.4376,123.5975,0.5044
133.2201,120.2982,0.5176
131.0149,116.6125,0.5324
129.7423,119.0422,0.5227
130.2366,117.7286,0.5279
127.3277,113.1139,0.5464
127.2828,117.7848,0.5277
125.7993,109.8312,0.5596
122.7881,109.4000,0.5613
121.7286,109.7735,0.5598
122.9500,109.5202,0.5609
121.2949,108.9216,0.5633
121.4717,108.3408,0.5656
121.1525,108.3166,0.5657
122.4429,108.7378,0.5640
121.3169,108.9110,0.5633
121.5684,107.1503,0.5704
121.3629,106.9924,0.5710
119.8486,107.6432,0.5684
121.2090,107.2575,0.5699
121.1737,108.9642,0.5631
120.5729,109.3946,0.5614
119.8962,107.8511,0.5675
121.4746,106.9422,0.5712
120.7711,107.2970,0.5698
120.0956,107.2716,0.5699
120.5527,107.6724,0.5683
120.2720,106.6474,0.5724
121.5634,108.4509,0.5651
121.7610,107.6362,0.5684
120.4017,107.8232,0.5677
121.4956,108.3744,0.5654
120.8422,108.1245,0.5664
121.2013,106.2466,0.5740
120.3005,108.0145,0.5669
121.3888,106.3941,0.5734
120.0300,107.0560,0.5707
120.4267,106.0372,0.5748
120.8573,108.4993,0.5649
120.6628,108.3390,0.5656
119.8911,109.8654,0.5595
120.6849,108.6470,0.5644
120.6811,107.0059,0.5709
120.1161,107.4239,0.5693
121.3419,108.5221,0.5649
121.2878,107.9367,0.5672
120.0478,108.3105,0.5657
122.2565,107.6346,0.5684
119.6747,107.4006,0.5694
121.4711,108.6887,0.5642
121.0839,109.8295,0.5596
121.0377,108.3175,0.5657
119.7276,106.6407,0.5724
120.9366,107.3305,0.5696
121.8730,106.7412,0.5720
121.8629,106.9451,0.5712
121.0755,107.0395,0.5708
