,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.4510629970787261,0.03705742637837192,-0.16366906451494137,0.04367266502987223,0.25818776709294866,0.026528303567036997,0.3776976495711121,0.04417263012783423,0.10787731871030636,0.018370409567217416,0.21802320268034733,0.04833072198481478,0.3468586805395827,-0.0012139274028768465,0.28545940170796624,0.37443910256285917,0.1287509120155901,0.20650174389977374
2,FSoZu_EU,0.4759669987421919,0.016004295207736143,-0.12096600287801322,0.039808841059289835,0.2698509615384619,0.010330977931908633,0.4002964743589741,0.04487298641961894,0.14996417668269227,0.019729575446411116,0.31543456129807684,0.08943045836703163,0.3881922981463324,-0.004485317905188246,0.290456730769231,0.3991923076923072,0.1765000861378208,0.26803445833333317
14,NEOFFI_OpennessForExperiences,0.4670449091660782,0.021869906722571327,-0.13551216967679744,0.06632840784943635,0.2812025908150976,0.010225541746333585,0.4159975961577596,0.022095762644801935,0.12529881157340475,0.010981514545227196,0.2638527541341046,0.025019954061316862,0.38014959773030277,-0.08945551175181543,0.30679220085903663,0.4541559829027372,0.14589297543057989,0.2790292223070038
6,FSoZu_Vert,0.18448737189047362,0.061442327018595,-0.19674431714907578,0.09003807910829514,0.29617788461538463,0.0071661297409929626,0.4176842948717949,0.025519460927958197,0.3768719551282052,0.030940515009850577,0.5571154947916667,0.11873380541562432,0.020723781513535267,-0.1896460497359158,0.3161298076923077,0.2968910256410256,0.454498687900641,0.33319475160256407
13,NEOFFI_Extraversion,0.40213807350508607,0.010789859528614169,-0.07861875343815188,0.014127440449651604,0.3243462873953711,0.007617920077671513,0.4443843482948413,0.021015753304236235,0.16791331477743532,0.0030126867270382058,0.30271146362274065,0.023589736663085177,0.31867907378920923,-0.055479997983978624,0.34292334402105934,0.4014049145298333,0.19159818014590085,0.26570122529494483
3,FSoZu_PU,0.4178638166278677,0.034887941868029744,-0.20259685153409154,0.05061965200830855,0.30832211538461585,0.01932943718499212,0.47763141025641015,0.04006129913268606,0.23307290945512835,0.03212726804572074,0.47029029967948704,0.0858786372815353,0.3203077823134258,0.03207296096345591,0.3364487179487185,0.2849743589743594,0.2734051891025639,0.15323920512820494
12,NEOFFI_Neuroticism,0.4471466770424371,0.045416420763234364,-0.08130564546262016,0.06846276392402581,0.3580034722217957,0.019455092063066767,0.5089716880351042,0.03115947301802963,0.20090985410030318,0.023261188547199455,0.3922806028544084,0.0505895006472358,0.3449719559504182,0.10161829370441167,0.38670673076891193,0.36543803418908327,0.23759660122929552,0.20742550079995375
16,NEOFFI_Conscientiousness,0.5157985031881042,0.016829238180969822,-0.07456301912373427,0.10577979154450227,0.3473824786348228,0.016888269292853954,0.530592948722939,0.04438719371273517,0.19331274122126638,0.014961680899943567,0.424571165535836,0.06630449966564038,0.4345232108264141,-0.17651203497245183,0.37811298077078176,0.44529380342378244,0.22642717653985542,0.27325392294705136
4,FSoZu_SI,0.4471192374070576,0.03082723487711972,-0.34409961775693626,0.15528736379389,0.3436309523792853,0.017196031664130147,0.5508218864427853,0.04910006331620262,0.1907665824490515,0.025833282612267826,0.445809429778103,0.09169196288111953,0.3094955547548621,-0.04721461713049324,0.3872321428539182,0.462380952372051,0.2406861370009598,0.39837685765624
10,TeiQueSF_sociability,0.4467432989023963,0.015955693948083837,-0.022353202811894384,0.05938448540030021,0.44396233974427407,0.02354843577185991,0.5992227564101876,0.08396011283565973,0.3137290781907935,0.026274838920553586,0.5786337261818822,0.12438917094187953,0.368702078035279,-0.024401784044257635,0.4690865384621026,0.7686538461610324,0.3593305666836854,0.8605528757250348
