,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.2826791462624047,0.033951735277870425,-0.23955430751734283,0.08717807463342458,0.26252800244824004,0.001631517637000665,0.3863929625097575,0.006321641842020218,0.13346114862245115,0.0038698965078060444,0.22793549570736435,0.009201969409603952,0.21001894923314945,0.031005662969128767,0.28413097346247984,0.39768382854295764,0.1476633803530988,0.23931095076059528
14,NEOFFI_OpennessForExperiences,0.37164076895302145,0.059538415252060356,0.00959876228259308,0.06293714790936031,0.29191516555742775,0.016002987146286098,0.38745811962002197,0.0285537363236368,0.1502354225803136,0.018263053017917277,0.233775160619306,0.03498771102934625,0.3385800511028806,-0.5309377118904159,0.2985170606312528,0.5008487829787414,0.15857145711595708,0.359290581249299
2,FSoZu_EU,0.20942797679587688,0.03223811488659391,-0.18344795126175098,0.091822617532276,0.27933645347612085,0.006049025622491914,0.3968439990731221,0.011144448762040505,0.23141749730936076,0.04159687487035054,0.33571716730591783,0.08326413332035472,0.159535892742119,-0.14077600421527303,0.2971839177328572,0.4126485091099574,0.2453298013741084,0.2939016995475325
6,FSoZu_Vert,0.055348445102928544,0.060019074716174736,-0.1930483630054698,0.015206383395089687,0.32561408968485966,0.00937511332449958,0.41576796335970195,0.018176192142654625,0.43861325248821065,0.07020290599541186,0.5491240731252643,0.10869057036371371,-0.013035928712656908,-0.11308381858117134,0.34286061805471935,0.3457684162072939,0.4675134169695862,0.3252897813013349
3,FSoZu_PU,0.19297800315298197,0.005554594332049361,-0.026197897678061837,0.04902227942103899,0.3177064005943434,0.02507786306297425,0.4178991068202597,0.05671339590361919,0.30600835117449887,0.02275343673776146,0.39009940974820406,0.07551293757576481,0.17303437071306427,-0.3732438086832759,0.33166539496857733,0.3977793048436015,0.31394790487781404,0.34286855278472106
13,NEOFFI_Extraversion,0.23095881807078325,0.04926505474404622,-0.18720054144232545,0.06365048013001622,0.3249167972176741,0.011062233247843549,0.4288167878008238,0.021182374940265543,0.18677753293210828,0.01594815925714183,0.283325349122069,0.025248713491240502,0.16714486668092643,0.004309131711525915,0.3417363027418649,0.4852953243672478,0.20320270278459285,0.4041789197476297
16,NEOFFI_Conscientiousness,0.3080408076054552,0.05536378456139296,-0.19400487652916212,0.12509990993526507,0.35256962014403354,0.017485527925996912,0.501704205231166,0.0315393847906224,0.2284494003541793,0.02826785645055892,0.38608619525335136,0.03945816654636805,0.27642189281208074,-0.1199585802359906,0.364878493123112,0.6166181694121738,0.2388281166422173,0.5657472118073996
4,FSoZu_SI,0.19546967790944214,0.022294742544647052,-0.31348032396508924,0.16062470070298512,0.3940117027885885,0.006736444146271022,0.545601684251681,0.010622336036509278,0.30870026314639115,0.02762469574789092,0.4942031608571876,0.017562859135496666,0.11796223757186597,-0.30596733492790973,0.4134508447046961,0.4591948089623881,0.33827483748906634,0.31502744900616975
12,NEOFFI_Neuroticism,0.2381206062208112,0.02231176823797407,-0.5107139745947186,0.16979695583410814,0.365765345068687,0.010321125007876993,0.5796693789410333,0.004561974053695886,0.26202515931496584,0.02029280385448677,0.5031993392882534,0.00475568576076626,0.16615051549308668,-0.11829671016758203,0.40434554157515523,0.4852587588129472,0.2884924425385656,0.32967246503102543
10,TeiQueSF_sociability,0.255962539415352,0.06830528050430743,-0.13672578852213024,0.215702148844395,0.5077338110290118,0.06791276970443241,0.6587182414895985,0.14373767318127856,0.483085087191821,0.11633234857740002,0.7376264494802699,0.2841105692717018,0.18264453592438445,-0.2893137333672571,0.5261131160266372,0.665224094199436,0.526665365216065,0.6644830439648687
9,TeiQueSF_emotionality,0.2380489011595238,0.02378992313405766,-0.16789088097543367,0.08452149719230355,0.5003130937465788,0.020808279604175615,0.6862080182416666,0.03867877914908407,0.4546727237109542,0.020670617282554496,0.6967005565249179,0.06495721423085227,0.20823283037228635,-0.246647368958111,0.5250557489679938,0.6619421352767022,0.472409528019831,0.6787507247984454
8,TeiQueSF_self_control,0.23810305308537663,0.01043941389066227,-0.3210390232050601,0.029964670724885383,0.5169454513029538,0.034629034149955745,0.7356112854911259,0.07644241125604535,0.4644737195670414,0.052717935353170264,0.7817628053173765,0.1342684714545664,0.1683937134011595,-0.44440053174579064,0.5497722923609017,0.6673307379004877,0.5109708129256122,0.674085236104348
