,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.3289147275738537,0.03462019953348619,-0.18758865095637992,0.11436040510983181,0.25905579237081594,0.0029501682723981487,0.3861915613394519,0.014769756146405865,0.13027080150056713,0.004793659006089244,0.22389375744252749,0.011807399375960701,0.2460947125733456,-0.07983171534424982,0.29112960325200027,0.38952547775814295,0.1476311371473036,0.2201727881133686
2,FSoZu_EU,0.3866509090072661,0.07312758229925916,-0.15084242399803305,0.05926248595004635,0.2223991156996823,0.016807186146144786,0.3950662015814402,0.03741074802562584,0.17483134009375123,0.04994118546247115,0.3113254251621081,0.12795138431623554,0.32417851380918306,-0.11827428321357769,0.24904333728433686,0.3999748901481163,0.1908051556262272,0.33474706189818665
6,FSoZu_Vert,0.2917628365585444,0.11182615482299618,-0.6071880400870536,0.3398405198597114,0.17837074013289625,0.05185818065315315,0.39839061905231626,0.11306664115709358,0.2708987833045004,0.11365280453704421,0.5128709599953902,0.3607352183461727,0.24399001077396099,-0.37231660276312484,0.20700203413182022,0.5017996574235405,0.30583983990509356,0.7118723205654868
14,NEOFFI_OpennessForExperiences,0.4855486647817248,0.07474727115596998,-0.13930255594699328,0.02721083630496951,0.24480345727651684,0.02133846155970323,0.42922686559783035,0.04863318564834008,0.12148831559518374,0.01649690905555693,0.2680822174641158,0.03653814536808392,0.362218769327189,-0.15906303907355324,0.28993713460228404,0.4310929499923534,0.1513143060333977,0.2854475323599604
3,FSoZu_PU,0.2826590277887894,0.026210613902122017,-0.097468329877107,0.10502260968788525,0.28437177057663665,0.019456964784640384,0.4444355411005903,0.04925072646852219,0.2823380036885214,0.036132104104950886,0.4229725205822417,0.13531406277609995,0.15720856983351772,0.01637838597906982,0.3166214559876675,0.3088549287887042,0.33472700070394135,0.1684508599738145
13,NEOFFI_Extraversion,0.33504080337744746,0.09503825176512615,-0.13987873333330017,0.011283583786438345,0.29771669964029374,0.02079136949918139,0.447946099745256,0.041706030648361724,0.18214528609711847,0.017137149992335243,0.31232211981691815,0.04741539170149736,0.30497340560732067,-0.07670760586902126,0.3122116006535563,0.42553169001008684,0.19263514377523122,0.28909626746985884
4,FSoZu_SI,0.39440197950950706,0.05165337609954674,-0.18762453786626407,0.05803858513937848,0.29840668411487337,0.0177074052526436,0.4828634846619584,0.029383581897420734,0.19540945209506574,0.016405786673462673,0.37614840730195803,0.05758106597307475,0.4139608126041324,-0.14328690476534045,0.3111259142278132,0.5572540649001303,0.19081717130664144,0.5308002720929549
12,NEOFFI_Neuroticism,0.351304128161572,0.05245731222281002,-0.11059274666345804,0.022501860757074704,0.3474494704973874,0.013408849588864295,0.5118007696319743,0.02998994225257207,0.23396845134802033,0.014734287881557834,0.3986561384770271,0.028320097104207843,0.2987528711742148,-0.2867586636069579,0.3693171957664108,0.43555519258574793,0.2539507114487189,0.29233833325242164
16,NEOFFI_Conscientiousness,0.49691477387929356,0.030158059936302502,-0.061210743954322945,0.062133226473850146,0.30099832543432475,0.009906687916789333,0.5142857264342214,0.02250242398852199,0.18856590995240677,0.010710353492303405,0.397559833902847,0.0269111591144316,0.40602081245328736,-0.16810318409344083,0.34607271220169494,0.5173111916732185,0.22275490753407737,0.39360230473481433
8,TeiQueSF_self_control,0.3583407756129883,0.06407590288301156,-0.029551456060999848,0.02864946788147843,0.45930325260281407,0.03099869213267708,0.6426051480179737,0.08793442427021536,0.3863002975212096,0.01580832149354943,0.6231814616885404,0.10321078564376936,0.192046102279831,0.008809462236677335,0.5323483567048977,0.5813205652626731,0.4905033871727613,0.49693481340467843
