,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.5816609719544638,0.023050730244993562,-0.06023679749721748,0.04663666585874193,0.22855502136770903,0.0017569866402603375,0.3659094551256763,0.009912290267051437,0.08491719668218826,0.0041844700735371165,0.21457312672669737,0.009031182412120003,0.48943944771960746,0.007452537019285166,0.2516145833328506,0.3442200854674872,0.10376996833928614,0.180252245812222
6,FSoZu_Vert,0.7103607549772241,0.054484886856942985,-0.137340062980743,0.05077902199763599,0.18848157051282052,0.006909418934284647,0.4008333333333333,0.013893070848871715,0.10428827624198718,0.024473973261625995,0.4022880408653846,0.06340629424119835,0.6408671362004104,-0.35369404896477863,0.20640224358974363,0.6056730769230767,0.12945075120192306,0.9349477964743588
14,NEOFFI_OpennessForExperiences,0.610222604385172,0.03844976309669874,-0.11360059140125382,0.043992514578718854,0.23958400107101285,0.0068285675940795406,0.4091773504317547,0.030777115698537628,0.08880095444559688,0.005418839897159475,0.25375130431392096,0.038221019833786035,0.5089671388318182,-0.1763488162104958,0.26899172008829003,0.46783119658080746,0.11279557208453113,0.29569846420929824
2,FSoZu_EU,0.6372666430188242,0.03915188362773013,-0.17181477867785855,0.07953954085571115,0.24413942307692324,0.02889091565787674,0.4437467948717946,0.07980598597702211,0.1158487451923076,0.034028473847204976,0.3688747588141026,0.16068543514609887,0.5045519809151802,-0.285124672896677,0.2724791666666666,0.3410705128205133,0.15620354687499996,0.18840045993589818
13,NEOFFI_Extraversion,0.582340555338332,0.038986699244535364,-0.18057723491404065,0.1009825711238142,0.26929153312105775,0.001927385478822388,0.4439383012838814,0.03879819000398858,0.11159458119184068,0.0023342609411917295,0.31124890797688604,0.028555187120226533,0.474397579658836,-0.050504848776838696,0.30209401709558664,0.41769764957553834,0.14178956441510965,0.313773957223264
3,FSoZu_PU,0.6359241945607095,0.013638695370048986,-0.1297125340043562,0.09887892812051952,0.2673605769230781,0.01780773687137894,0.45990064102564104,0.028357199311535266,0.13831391586538455,0.01597095605135886,0.4258890913461529,0.11994751987655582,0.5306654458687883,-0.2173482218874323,0.2891955128205136,0.42319230769230604,0.17914941185897357,0.2895383910256394
12,NEOFFI_Neuroticism,0.5967401245196081,0.012680727766859771,0.014139983130495101,0.04360166281270968,0.29640224359204487,0.011240078523389603,0.4626375534218847,0.04381443622742671,0.1351979912318123,0.00449124624348711,0.32779350822723363,0.04312354072307782,0.4978253720985373,-0.12145720613366606,0.3298798076943542,0.4887339743565192,0.16934198495547015,0.3686066561983723
4,FSoZu_SI,0.5724715621042263,0.03458662349604957,-0.09019496284343327,0.07278370861481745,0.30291437728718834,0.023136146440313535,0.4877449633715334,0.08706610616877347,0.15301741153038814,0.020960547877445047,0.38736970908299106,0.11623952517449057,0.4745944452009758,-0.022008701556307075,0.33654075091535557,0.4940018314966663,0.18924291519365163,0.3428499182277064
16,NEOFFI_Conscientiousness,0.6314574848703657,0.031185853746945425,-0.22521733923241172,0.12639083451728483,0.2888882211538323,0.014145346456554166,0.5287099358969087,0.02839328014908937,0.13398192983748788,0.010585917109917747,0.43287799312467484,0.02446096639448929,0.5384992355366092,-0.20224862061057047,0.3226175213670301,0.5396901709473272,0.16919208344409936,0.4497673655697319
9,TeiQueSF_emotionality,0.6072018507556063,0.015568067935564176,-0.026308839964700643,0.03747922929266428,0.38632411858974364,0.015057312978988843,0.6063401442307693,0.031009621596103678,0.23244818021334135,0.02222547965588062,0.5890182686047676,0.05881338199623029,0.5097529330940497,-0.10261638722143385,0.42452323717948715,0.6510256410256411,0.2918534805689102,0.5906129156650641
8,TeiQueSF_self_control,0.673426526124827,0.0377306669143076,-0.04105084627494845,0.060723936472631454,0.3607425213670404,0.02160750550360704,0.6337152777791156,0.07929622165011008,0.19291218282511355,0.019109109797433337,0.6116873096973047,0.12171295429207392,0.6018761664154169,-0.25473035602871086,0.3990625000004908,0.6720192307747117,0.23728261551836796,0.684881672900769
10,TeiQueSF_sociability,0.6206986320179931,0.04146088312327142,-0.07457951232375959,0.06194118686462276,0.4001308760686872,0.034019829701047825,0.677604166668928,0.0726414080476786,0.2522804932342324,0.037956908016592614,0.7088499988892747,0.10014679284313703,0.5298718307731443,-0.0656798373018237,0.45176014957418614,0.5765491452988787,0.31201659878103216,0.4932924456915197
11,TeiQueSF_well_being,0.6334170703248746,0.016261500188404797,-0.05962388902116311,0.06601689303306622,0.433262553419482,0.017339075944473075,0.7518536324807643,0.042573940631057496,0.290260696557923,0.018475422269893602,0.8383426014930949,0.08549725628927247,0.5479835539967538,-0.24460107891413063,0.48243322649618064,0.7821474359070516,0.3578752459471245,1.2726043759116403
119,COPE_Religion,0.4233755297753979,0.058452665661131296,-0.21046436026012225,0.08354171637835711,0.48100160256410257,0.05074972738928865,0.7987339743589744,0.09940721533611631,0.8014020633012819,0.19004448985229508,1.6761315304487183,0.637939603239976,0.28334945516255794,-0.10887526548672555,0.5215384615384615,1.2332051282051282,0.9891049679487179,3.2952769230769228
110,COPE_BehavioralDisengagement,0.604432029611561,0.028199424046859444,-0.08595409560987884,0.03591716263262356,0.49820512820512813,0.024796604910692407,0.8428846153846155,0.028196230749889008,0.42043465544871794,0.04312066950670393,1.147565144230769,0.14597437109678638,0.4527836972891566,-0.08061850961538441,0.5665544871794871,0.6351923076923075,0.5822942708333334,0.7204123397435896
5,FSoZu_Zuf,0.6453048634469619,0.009317739670263338,-0.06961775369097174,0.04861673859269131,0.47574118589743586,0.021049742778300802,0.8479246794871794,0.04615525394042438,0.3309516776842949,0.02373013631567373,0.993853235176282,0.12404848831877259,0.5792575206270627,-0.2284994719454072,0.5186458333333334,0.7690384615384614,0.3928900741185897,0.9320765224358973
0,ERQ_reappraisal,0.588049272970656,0.014940462170315307,-0.14954112467949443,0.08002997982027729,0.5405982905961152,0.017504911117038804,0.8767868589701235,0.021793547084700934,0.46431443197381056,0.028569430297390265,1.2834869112732152,0.06199011420270623,0.4758417618669537,-0.2312698983807857,0.6009855769192693,0.6622008547019552,0.5913885249666598,0.663800997153369
113,COPE_Alkohol‎_Drogen,0.4076329110039525,0.05203072653945435,-0.3382461541373156,0.09165770508790186,0.5386458333333333,0.021606831637369983,0.8832211538461539,0.05030215654087525,0.7615374799679486,0.07053396628103685,1.701629046474359,0.143292869816762,0.15853782253440396,-0.32859487771739104,0.6028685897435897,0.9824358974358975,1.0854364182692307,2.4108625
1,ERQ_suppression,0.6332569429174432,0.012036991897545988,-0.12472131091746401,0.0727046954618972,0.5181590544871795,0.02182534468688475,0.9116907051282052,0.0635828821915195,0.4149169934395032,0.034927590800565435,1.2636842698317308,0.2187283545099673,0.5470120644866738,0.019746660464519783,0.5748677884615384,1.1533012820512818,0.5134493815104166,1.883410817307692
77,STAXI_State_Anger,0.4076962216156576,0.13467296931531578,-0.24458355982488614,0.15410497846258356,0.5798717948717949,0.028793329927809502,0.9658173076923079,0.15822947809795698,2.0493697916666664,0.4138668720701734,4.3432239182692305,0.9219472518782744,0.2779970534650896,-0.7725223983253589,0.6149839743589743,0.9982051282051284,2.5159441105769234,2.9227391025641025
116,COPE_Planning,0.6226030523423532,0.013933395188050295,-0.1540717533518825,0.1306446328421036,0.5471073717948718,0.009335063138782851,0.9721314102564103,0.03268911026344869,0.4756108373397436,0.012488640008212447,1.4493907451923078,0.12196071454126811,0.5283819024501497,-0.061513215793918885,0.6192628205128207,1.1801923076923075,0.5947938301282053,2.065798237179487
36,NYC-Q_lemon_9,0.36557369438572557,0.055694859632540956,-0.244893046802278,0.08825619707773018,0.6375961538461538,0.03212649028769134,1.0035096153846155,0.07874719203847699,1.585527483974359,0.15780761985069325,3.1030774439102564,0.40185612102136964,0.18332353511293642,-0.14970871863382884,0.6886858974358975,1.0383333333333333,2.042865705128205,3.2533506410256408
115,COPE_Venting,0.649661015546238,0.01598484398697247,-0.08917349747676188,0.07885878508308299,0.6164182692307693,0.034698656738590405,1.0756891025641027,0.1344545819187582,0.5786733373397436,0.06250188176920783,1.7651441907051282,0.3539661309022319,0.5800319242090681,-0.18394494656133764,0.6687820512820514,1.0982692307692308,0.6976516025641026,2.0938934294871787
121,COPE_activeCoping,0.5526022876972589,0.010307453392258982,-0.1060014248733856,0.039690060476571906,0.6876442307692309,0.01362669123915337,1.1034935897435896,0.04684421792275126,0.7469629407051283,0.042455903049277516,1.8142230769230772,0.23079241666901443,0.41839561322023144,0.014307459170854298,0.7699038461538461,0.9982051282051282,0.9776335737179486,1.5475567307692306
120,COPE_Denial,0.6567606639486544,0.006006228546397065,-0.3102415141837125,0.12270266990909813,0.5609375,0.012678566157793782,1.1279967948717948,0.100521740001123,0.5296573517628206,0.03788990498678985,1.9723085336538464,0.3760686698460622,0.5535678698388456,-0.011470702408256539,0.641875,0.9709615384615384,0.6966513221153846,1.449708173076923
108,COPE_SelfDistraction,0.6383523703409878,0.01322997510154074,-0.026049206193888137,0.022002651251585122,0.6757451923076925,0.01994416940782072,1.158221153846154,0.0044222058785573564,0.70626171875,0.047243072052045997,1.994955088141026,0.18010216639123058,0.5198234873013203,-0.138744767502071,0.770128205128205,1.1198076923076923,0.9384909455128204,1.8073174679487176
109,COPE_UseOfEmotionalSupport,0.5811260825519409,0.02475520473666696,-0.08400803593097228,0.09286826488706781,0.7429647435897436,0.039903944302731746,1.1813621794871794,0.07524946526400096,0.8906145032051281,0.09400180559709614,2.2263805689102565,0.26628685921244016,0.46437797879695775,-0.2222732888240575,0.8334935897435898,1.2837820512820513,1.1459881410256412,2.685626121794872
118,COPE_SelfBlame,0.5569409959277081,0.008203526317488517,-0.08651529868642253,0.04714854845301278,0.7666826923076924,0.024878611546868996,1.235448717948718,0.11582815614627513,1.0129384615384616,0.08000970853472818,2.465508333333333,0.2513033228367007,0.4833442355732078,0.026433060064935288,0.8365384615384613,1.0908974358974357,1.1813065705128205,1.9714570512820513
