,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.5487756279563606,0.023343340814976153,-0.23281284680938033,0.046524671386193914,0.20306326153767504,0.0035342522870984573,0.37568958880284037,0.023220710965526983,0.08248254357416568,0.0027179541741965676,0.22495233744944176,0.01725894955096524,0.5055012341795936,-0.10112163140222075,0.21032039931463167,0.4091756591120596,0.09061021480441302,0.2813535091130762
6,FSoZu_Vert,0.4150677243336946,0.09496609599799784,0.044431702482649826,0.08878673074003916,0.23761466862248048,0.017281402408482232,0.3892821024117474,0.023125773394512657,0.25509732879116903,0.05244959150744547,0.4152908028758337,0.07870160708844057,0.39991621592933335,-0.019981790538899924,0.238222721396557,0.36391762295552055,0.26029275249219097,0.4134245719048204
2,FSoZu_EU,0.43339479120133856,0.04066184867864442,-0.09601024164455212,0.13705600613370786,0.21976563673395785,0.01067450407315606,0.39377798966564415,0.03641910761400359,0.17330049569398662,0.027474602932102243,0.3306603730374979,0.06883140027164554,0.39877383004759126,-0.08082240177350508,0.22996306760780597,0.3648961970762021,0.18331963035726742,0.2262265745092789
3,FSoZu_PU,0.5026097757361617,0.0342743016071675,-0.17629484450582003,0.09670250310860717,0.23795381817899983,0.033823874611589845,0.434984261816531,0.0822476762339943,0.15122160226753803,0.03947175347391878,0.35207920993503006,0.1613292549363491,0.44863344744792677,0.03734714726441313,0.2508965948688798,0.4275316901773432,0.1668346012367131,0.5380729449583735
14,NEOFFI_OpennessForExperiences,0.5759389378438075,0.04563701445438533,-0.2490432455953738,0.0820756580238965,0.2305943510731274,0.007994206397017922,0.45668408898134555,0.02113752000145352,0.10591125125775762,0.008179625791421686,0.30973095296463615,0.019324095665747172,0.518043462753514,-0.03969570998678318,0.24375467833090275,0.3919858402341982,0.12103856507366,0.19828954451819675
13,NEOFFI_Extraversion,0.5633451917880186,0.042630255437251685,-0.31272506405400313,0.15284630884760605,0.24088919210680673,0.015452377382751787,0.47196930888566563,0.03266572245093378,0.1262181892898384,0.018653587454419127,0.3653295529146185,0.05166908722669794,0.5126192345666258,-0.26831662367265996,0.2573313915008228,0.4211369242959114,0.14128988679707857,0.27094991791228296
4,FSoZu_SI,0.5176890822826942,0.04964161500830965,-0.142646815812998,0.10469620496614775,0.26917468696033603,0.010118849366773005,0.4844575835828353,0.044409799965049714,0.169613094930979,0.01882996338659759,0.3932585623290112,0.06491136892995251,0.48872594614949894,-0.3022681549299029,0.28268027394242196,0.4954764439930173,0.18101663055697784,0.44665269326231494
12,NEOFFI_Neuroticism,0.5524404640320695,0.04424950389312124,-0.11352649082867639,0.09146265205105135,0.2707290937712097,0.018505192611069345,0.49773762511222497,0.038712971754296756,0.14961423301289986,0.018456531074268864,0.37009430337553556,0.0522421454522703,0.5228991696373657,0.07171109395858488,0.28047118581910024,0.48036841574633654,0.15945620107532713,0.3236279324953048
16,NEOFFI_Conscientiousness,0.533407152998301,0.030182989167923977,-0.14394028274736823,0.05706598875864134,0.26633407233980144,0.022764374344538416,0.500998324933207,0.038757961195005,0.15923025957256237,0.0248411734751628,0.3781997058463837,0.056563968213541496,0.506410358250488,-0.10823417088215881,0.28018394424397103,0.5973459979928952,0.1683275972476931,0.5231304078945812
10,TeiQueSF_sociability,0.5241005839751879,0.029037146230944992,-0.05780345419705905,0.04363147113705597,0.38474912652305665,0.01695451683589152,0.6623551641668198,0.0582882616370652,0.3147771122766768,0.019303813290527765,0.6977698701345508,0.09398037908933125,0.5025921220251871,-0.24734874017307917,0.4066901278121448,0.6217329361824283,0.3302494530622862,0.5760183403402406
8,TeiQueSF_self_control,0.5181801440467976,0.021603651503935006,-0.14935895230576324,0.06467995424976469,0.3787489868102632,0.025253227664459855,0.6889016136893646,0.05076458694898876,0.2901563493705484,0.026230767766188334,0.6846786350373305,0.09860177498342468,0.5012469013809553,-0.2752845899337446,0.4009935342697566,0.6508983693056906,0.3011518091668364,0.619801912258426
9,TeiQueSF_emotionality,0.4734002821072536,0.053602067615375566,-0.2655757468366416,0.0801345396401349,0.40316071054534763,0.016588561488479068,0.6987623332412886,0.007366836106551823,0.31856188303678995,0.0332172549949554,0.7537403170560486,0.04162197041926599,0.4339644096059504,0.1366812979322093,0.42543057789026106,0.5140117392547248,0.34397249407912156,0.43054188969615964
77,STAXI_State_Anger,0.06457730840315272,0.05424478846720736,-0.11363484337270487,0.05674411073993918,0.571528049627691,0.11169291100778381,0.7289986344771529,0.2385643044595548,2.265851647356193,0.8312269096263178,2.626796380100846,1.7721551650829623,0.031162681095233125,-0.09344122179283021,0.5827310830820712,0.9554638713772806,2.3202969040814647,6.534767065152417
11,TeiQueSF_well_being,0.46620990686180214,0.03637881376224159,-0.07227048127444606,0.0354050369850369,0.4509561230847157,0.02169149365066924,0.7652626686969294,0.03543377818660094,0.4562598463477842,0.05463066129897981,0.908242336643507,0.07841681825401813,0.4451954904605979,-0.39962674894031336,0.4771553132401334,0.8065909627817296,0.4728822880348715,1.1550575924345783
0,ERQ_reappraisal,0.36452928906698207,0.01122487077239078,-0.052995323034000195,0.042075768777256356,0.5506304674039345,0.015103377397518115,0.7922036389775119,0.04944211822016397,0.6396283920092963,0.030558773466872153,1.053412421990774,0.11700276022919329,0.34918230905454917,-0.10546550796694776,0.5609826067655047,0.8018578552774878,0.6568140662263017,1.1193151196618991
113,COPE_Alkohol‎_Drogen,0.12684640416015044,0.01761001716585904,-0.16285649556165013,0.07604403666182866,0.5924666529218773,0.037375978754806465,0.8022726207629168,0.06576220410450462,1.1925183380805215,0.15737609907835945,1.5751467836848978,0.38885589178879615,0.1002780056105691,-0.22828035067012586,0.604689604120234,0.8571836254519483,1.2293168982348357,1.9009677485059013
110,COPE_BehavioralDisengagement,0.436990565644106,0.03175999095836705,-0.2689098630002149,0.14121471111612777,0.4832408822558459,0.019924166427889307,0.8088262226550321,0.06236222890040204,0.45560529587893844,0.03221163189088732,0.988064507788733,0.13237956995550804,0.39685627295291726,-0.040818161547034215,0.5079562020939948,0.9883216005206629,0.4947880246042061,1.7052720963676593
5,FSoZu_Zuf,0.37025259541598016,0.028394101189178105,-0.16344706509676854,0.04153145848419793,0.5255592941750722,0.0392506451452991,0.8407968254742206,0.06872906821541971,0.565728876872127,0.05256389976940471,1.0335318751140548,0.11091456410705086,0.3355366654183488,-0.47515185665070203,0.5486180145536269,0.8764246399897203,0.5977603461536855,1.1754661737413878
119,COPE_Religion,0.12034704319719913,0.02181407227438143,-0.19350362484196135,0.04685536011292723,0.6524118735217999,0.01937476157561936,0.9230574803962724,0.0436930301827196,1.5905214944319466,0.03375047043422832,2.156529227798409,0.22048432695949835,0.06523732012660621,-0.23026375063127658,0.683335706364407,0.8721369197237672,1.6932970898889999,1.9218321311636508
1,ERQ_suppression,0.41007915907442105,0.020160639038419546,-0.02584662284414363,0.08800657265889279,0.6296525012088581,0.010672976661642953,0.9347402657822874,0.02940905049774839,0.7847299320683264,0.02574235861648499,1.35810842091185,0.05154606138458306,0.3899998829327529,-0.1499112742745834,0.6446674606377826,0.9743519437914694,0.811973672429616,1.4244421956887567
36,NYC-Q_lemon_9,0.023955523327712263,0.01574087550871774,-0.17524103209962702,0.04414566611290237,0.7906886276294515,0.04140772995657335,0.9979800796662833,0.09876070684027057,2.8606080099849205,0.15531047422726738,3.4361828966408328,0.3764680833103692,-0.006503982332776381,-0.013511315875429863,0.8095509509985818,0.47361046820425173,2.9521387144531253,0.8395951729145571
120,COPE_Denial,0.29753418766649686,0.053502373738536266,-0.039837249424424424,0.16984698361172873,0.7079140859691121,0.05941060664468387,1.0147376415624996,0.12182039509063917,1.2029873544805305,0.17637843989739516,1.802749965231164,0.6041889466822047,0.2741621065628115,-0.4063156353868329,0.7244526447105426,0.853290893215077,1.2408380128479353,1.1890347844230553
116,COPE_Planning,0.3348295303497692,0.04460987858472967,-0.1306382563316507,0.05839805567817927,0.6628435429205056,0.05000675063945447,1.0243580306340847,0.0782282559565983,0.9578949125688507,0.1281242064637754,1.6144206813012516,0.22809766997442346,0.3008810677371755,-0.017525925439698664,0.6951729612450697,0.9280922575341811,1.0027139715524993,1.2764230543977284
115,COPE_Venting,0.43387201300334227,0.05903581029273638,-0.07389436889839802,0.0980367209276325,0.7044438959358712,0.05865576158954822,1.072226659958815,0.10694995745526034,0.9566201130639834,0.13776276903714582,1.7956922614218154,0.34584735775886616,0.3910675509513569,-0.15339966457525267,0.729487935055011,1.0437822420473104,1.0301757831928702,1.8760754570408777
37,NYC-Q_lemon_10,0.006303831568382952,0.01169770152844103,-0.1712147020625657,0.04577065083425482,0.8751283262165611,0.08105772299598682,1.0932665354063733,0.1550666821871684,3.752269299725674,0.31032451657788046,4.415356584453625,0.9247411246180818,-0.03479907365359902,-0.16531558890004616,0.8919522489246936,0.9784241164603665,3.9199137986071797,3.6085709557654284
121,COPE_activeCoping,0.3531689965663771,0.026679405593766196,-0.16355124914636154,0.10726564853204008,0.7634975551178019,0.035414744429442424,1.1324734336318825,0.10185160989786325,1.1260888062486474,0.09764107255981798,1.9527237682173686,0.3925820632329218,0.3275166141959298,-0.38854830951144215,0.795252938404955,1.0639796402922217,1.1898611977867135,1.7053308627004435
108,COPE_SelfDistraction,0.3608845835327205,0.0501461348326842,-0.1107659172720042,0.07840447511291927,0.8112667916116569,0.04926127323111191,1.1975550383887146,0.05672931470729496,1.2433577849807598,0.08666231550084402,2.1348597150141093,0.145559142325844,0.33213707598389897,-0.1416124435022006,0.8449579451865489,1.0930741947683358,1.3056478662471245,1.825379002365123
118,COPE_SelfBlame,0.28822887894430443,0.022689525215143422,-0.037101498290131096,0.03140764432707784,0.8924042816406645,0.04786920556001672,1.207190815299458,0.060609997332799606,1.6191280336759488,0.11971771441394852,2.354441018321515,0.21012936910624438,0.26115028501069315,-0.06004530021026255,0.9178336323927002,1.1933811817766682,1.678685011554436,2.192572330349432
