,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.6293540187314678,0.02943309810810009,-0.13773837703754102,0.05581721541442171,0.16321276336428148,0.01159962011513623,0.35868065268953647,0.06415186036452986,0.06653242756821483,0.010034127979390024,0.20325426001044344,0.06009376845397707,0.5403703093984361,-0.10124926970649817,0.18799972096759673,0.4140092873000278,0.08300705632411416,0.28530795055076896
6,FSoZu_Vert,0.6553400927495594,0.19940096062621246,-0.06481798700100894,0.10307510440413573,0.12195420070046631,0.04282376290216949,0.38301554829760986,0.031378148408364115,0.15150708772134874,0.09811118800686222,0.41963101023195976,0.11359074994919506,0.41000114651837605,-0.18802531987981697,0.17131290835609134,0.39300295497017346,0.24357211461277556,0.5811248113021588
14,NEOFFI_OpennessForExperiences,0.6076258208193589,0.020852332579519982,-0.1099989113805749,0.06976752752183657,0.1912392098922778,0.0015729474311022864,0.4045638678807246,0.024269726950307335,0.08649016069761122,0.0006830277051729388,0.24467411344805626,0.02535390975108531,0.5245634514956787,-0.10992034470380174,0.21846457703573377,0.4858543017536297,0.10510229255346974,0.3323112376920707
2,FSoZu_EU,0.550156206547271,0.10587306496325591,-0.18902725050556501,0.04473175190548474,0.17418131645058565,0.010957591065644211,0.4272785654468005,0.03564172195477536,0.14190776626514562,0.03379715369208559,0.36957933088929695,0.05144892484815103,0.4587009091214419,-0.13825216555655495,0.2102387934301176,0.3327909781005881,0.17162023801815704,0.16421962867174913
13,NEOFFI_Extraversion,0.570054187330027,0.027863989918795073,-0.1468824475339879,0.06759072866284532,0.21943016939995838,0.017734834530574617,0.4374175427717488,0.0614331675827105,0.12119612985755479,0.012860402319497402,0.31782709844051055,0.07345541434354223,0.42345106276688405,-0.03225131733981157,0.26737031435128034,0.3990925059617234,0.16383695705524148,0.25040898254332955
12,NEOFFI_Neuroticism,0.6191155242121974,0.03171360719446305,-0.07296749822298183,0.030541431299358508,0.2215102302220501,0.00806926003990385,0.45301449774044716,0.017515354330365097,0.1205643754476237,0.0157607258562215,0.334784926569774,0.03562676294015192,0.5135127058029498,-0.04808295482809988,0.262229596862801,0.5163287356877151,0.15392456633426627,0.4266905038620365
3,FSoZu_PU,0.5225309067866863,0.11909879772436918,-0.1511008187837016,0.048238716576626456,0.21926719389904617,0.02883023326487673,0.4540370260367741,0.054627821738838046,0.1910455625216536,0.06676439309133886,0.4444357804228563,0.12509948591119438,0.39998503181641654,-0.0809882606320349,0.2621621628581378,0.37546431148833237,0.23553546154894917,0.20508216468637736
4,FSoZu_SI,0.6889003850341963,0.019691803795200694,-0.09025023975897188,0.026459130904454054,0.2016031367100155,0.009434057134760724,0.4970419394628401,0.023125441572522273,0.11340481694427862,0.01819419961338359,0.3929066061602766,0.07463750739794046,0.610676849786383,-0.15373844530514158,0.23585144017127802,0.4810754274106263,0.14129379925807548,0.3702291545322458
16,NEOFFI_Conscientiousness,0.6151277773551415,0.013513419395163508,-0.15318933458869824,0.03192116337510674,0.2451647462325398,0.0028713145085919726,0.5222125112594861,0.023819967469097855,0.14111725869185857,0.00855943385189219,0.4190767580393271,0.041758447769078194,0.47973402960138034,-0.21169092922098565,0.29985720086336815,0.4791201989278557,0.19132228547382424,0.39045365988453323
9,TeiQueSF_emotionality,0.6479369206432793,0.01331084864376887,-0.08479626699504628,0.1283050088079775,0.2952323016290128,0.014578863886376024,0.6435683209797244,0.10349616013729775,0.21219030365857183,0.018700629224640424,0.6542173655517042,0.1633495289789343,0.5525611930627417,0.042601371053783255,0.344520987054386,0.5701777207600156,0.27100645373514115,0.48037130008003687
