,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.5890684040419615,0.02171821455779068,-0.16909981022526868,0.09647377385680209,0.23980769230739804,0.005348301846820289,0.40029246795008167,0.0470566937820368,0.08913516793590426,0.004314841667943863,0.2559487499476453,0.0544381886018312,0.494838225442394,-0.09817764613717261,0.2646193910256749,0.2895886752066863,0.10994756972368003,0.13624935785975908
14,NEOFFI_OpennessForExperiences,0.625293401874388,0.02765557702286407,-0.11639067137834314,0.05059111247169394,0.2434248130371811,0.013418533445286929,0.4326949786355399,0.06425124753566633,0.09108222280752754,0.010099566653765091,0.2702582053548898,0.06683989070919244,0.5312444438960716,-0.08235232755683852,0.2771714743612535,0.389289529917154,0.11495277944863869,0.23459269164273103
3,FSoZu_PU,0.6422119315674483,0.04136970597543377,-0.20964626412422546,0.1500284089028018,0.24493589743589797,0.008018120362668378,0.43611538461538485,0.014853291013939503,0.11730496634615377,0.009394198899393299,0.3881687243589745,0.050852921914020494,0.5462163467589678,-0.2409145698529409,0.2679775641025649,0.5489358974358974,0.1505175913461539,0.4993029038461537
2,FSoZu_EU,0.6448160534902624,0.025045011418668352,-0.20311485602371238,0.1576333011444288,0.2343173076923082,0.014164493294317345,0.43719871794871823,0.05589337342440202,0.10622690144230751,0.016604047548333913,0.3543385088141027,0.1197603034466382,0.4961135356324671,-0.09185064457601166,0.26609294871794903,0.3829358974358979,0.1518367940705125,0.2443132467948717
6,FSoZu_Vert,0.5446858976644698,0.0589032677470087,-0.19593732278221085,0.2171005379218373,0.23241586538461542,0.012544495970763557,0.4477403846153846,0.06497907262015176,0.1943735126201923,0.03863791064344011,0.5029510817307693,0.0999673977868078,0.4175113923435678,-0.10302856979090258,0.25219551282051283,0.37144230769230774,0.2463417467948718,0.49422351762820527
13,NEOFFI_Extraversion,0.5663818744264482,0.012324652076455809,-0.18657107774851864,0.1048192524126859,0.27615584936004167,0.01189722610798924,0.45461805555911056,0.027965953967762185,0.12121772099280209,0.012017708824966495,0.3238902694313346,0.04340625450648127,0.4429973361960725,-0.10876166407168841,0.31363514957418437,0.39502136752623074,0.15605936776643992,0.28977525374429763
12,NEOFFI_Neuroticism,0.6228089677293915,0.018607180776845506,0.004059064489601989,0.0932264991653802,0.28397235577165153,0.02221759645265993,0.4692841880363974,0.07269016698937265,0.12516626143618567,0.01808659105522442,0.3345136017657549,0.09822366783505078,0.536720393846694,-0.09421102914108803,0.3109081196603141,0.5152831196549167,0.1530446486619055,0.3940226818383397
4,FSoZu_SI,0.6131321924829639,0.013749019442791343,-0.1013919257008667,0.033952290101110255,0.28741071428688586,0.023483273288699806,0.49250915750938146,0.05833976920053659,0.13739973181464307,0.02231025369724302,0.39024752910369154,0.11109367585609208,0.5224916076536157,-0.09188473879236403,0.3247069597080335,0.4757509157482046,0.16930375948301193,0.3903763736207332
16,NEOFFI_Conscientiousness,0.6196621272468896,0.029458841945260376,-0.19707498809530236,0.02544074932002859,0.2919798344008106,0.011966823101758886,0.5238047542729056,0.04018859615042961,0.13419584320911646,0.012254843355855112,0.42313449046131146,0.0636577011265038,0.5351685243041252,0.0062451190913681565,0.3243656517093588,0.5254861111214166,0.16431093054366214,0.4244637876291454
9,TeiQueSF_emotionality,0.6288312404539291,0.02929538993646787,-0.04389716807251731,0.04367481020018766,0.3694671474358974,0.007142755213361609,0.618497596153846,0.08170664781799072,0.22014417004707534,0.00436510816366784,0.6182802534054487,0.09752217665414041,0.5521017506162289,-0.2269510665923713,0.409775641025641,0.618397435897436,0.26786748422475964,0.5994343649839744
8,TeiQueSF_self_control,0.6727172055680289,0.02601697693113038,-0.09080608254939555,0.021165826508507853,0.35096020299068,0.009359281542774895,0.6488862179492357,0.03717370564300324,0.18488917100566118,0.014108163266947176,0.6131376502390736,0.024157236319544955,0.5857012330882758,-0.05307316217676172,0.3974813034185835,0.6482478632477177,0.23455962094808408,0.6808549946655755
10,TeiQueSF_sociability,0.6339752205753151,0.00952156083932375,-0.17329600052111319,0.17897248286638345,0.38245058760664136,0.018096450093178198,0.672751068375676,0.023012367910186873,0.22768578336463272,0.02318307654689026,0.6905383524744351,0.038866834053392564,0.5516925639009146,-0.3482566008214891,0.4260122863236313,0.6833119658130258,0.28057848891583237,0.771192138539074
