,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
6,FSoZu_Vert,0.5291062037999629,0.2554348074364096,-0.24057611940276682,0.1976383317149542,0.15083020817385717,0.03275321004988073,0.37318154425343514,0.05226334110167381,0.17073082152195443,0.06230784402129178,0.4606565558196905,0.16373664677649538,0.3772600708089765,0.012957154811890637,0.19031537351630481,0.3362413893878457,0.24710896660155393,0.5460858344679773
3,FSoZu_PU,0.49438587523316374,0.04929914020978766,-0.11698491254303651,0.07808645546921103,0.18317373131884543,0.005064056863332582,0.38719439530771654,0.019619241732535875,0.13945363594855298,0.009697182721510647,0.3079960454551798,0.08133716176210688,0.4180423011581411,-0.1781237659332624,0.21875124797665849,0.5317041582070302,0.16279510960107435,0.7161381387450734
15,NEOFFI_Agreeableness,0.6174551385244161,0.03794979602438881,-0.12250397363984256,0.03449346210830466,0.1821742646783834,0.01386880460721058,0.3881310405267051,0.038878150779379575,0.07915572719511661,0.014407237250266183,0.2316735667345948,0.047242359580339094,0.4541915032536423,-0.03460446560118435,0.22862701071294866,0.3114107650519512,0.11209699870380509,0.17918897380341772
14,NEOFFI_OpennessForExperiences,0.646112215558852,0.027179905506145473,-0.22184047802546317,0.17147053235389162,0.17911808953188593,0.01275132178116483,0.41902688124703974,0.04032831426781683,0.07981397428041231,0.0070159695641004395,0.25470893412708057,0.03568506162938491,0.6030069969200704,-0.12007774016847028,0.20177541213887237,0.4705509097578003,0.09115972496441052,0.30853481911620867
2,FSoZu_EU,0.6304088605454228,0.09733877764581744,-0.1494359960316444,0.052351428231900664,0.15902762571413004,0.023483081840791106,0.4296680498380376,0.031925205051411165,0.1098334500856074,0.04340670305972408,0.32568318625845655,0.08861253275794807,0.5239098783557357,-0.11668752190156995,0.19446564512234124,0.3351266955139805,0.1365167295555092,0.30691653626280885
13,NEOFFI_Extraversion,0.6035983146288978,0.011562965808783777,-0.07619388164067198,0.04071625640728515,0.2184865306767033,0.005186029535279262,0.44120490294231685,0.005049871418904899,0.11784933117733082,0.0035244762895546245,0.3173520179180097,0.015331083439778856,0.48163403550015504,-0.17547765653718628,0.26286369515336067,0.35962234297016815,0.15452003185183316,0.21579190232375786
4,FSoZu_SI,0.646125581978233,0.00643528063570825,-0.1717650123969313,0.05214868557394645,0.21019192930451824,0.014649441310515423,0.48030377449970724,0.0553595825181301,0.11617723898083569,0.007001919641865565,0.3803800916384514,0.05227748456387764,0.5716458781608948,0.00088808715830202,0.24085836087707355,0.5155474103212924,0.14129610931628414,0.4562489076835213
16,NEOFFI_Conscientiousness,0.6418044579372045,0.03468530735865071,-0.06727115300397912,0.05294088470208703,0.22184667947446823,0.0059247282066080525,0.49966942465448244,0.08504488328235185,0.1307618514828973,0.0069830082722983034,0.3971384062115848,0.11238749355684578,0.5125602468297188,-0.02021311245044055,0.2744671763030308,0.530830498509236,0.17994389947035236,0.3708790289705858
12,NEOFFI_Neuroticism,0.5994412109386745,0.027398369593915093,-0.14074672179357264,0.04401094514359696,0.23842493195275502,0.008385477832436886,0.5013165973417226,0.0049245515936693,0.13638712199582756,0.008240967273290592,0.374391505665175,0.016441717226462215,0.5402377854261213,-0.03756854583764735,0.2643113661535589,0.43801035927217724,0.1584032639075099,0.3066413359778045
9,TeiQueSF_emotionality,0.6113673423083138,0.03277778984050034,-0.07613655959980285,0.034571866101256954,0.30525966284501793,0.013068280559768877,0.6237810150007544,0.04733266392772182,0.21974621136007913,0.013245278217428016,0.6081348773631395,0.06971967940226056,0.49654362416644626,0.07025043595066882,0.3707962315099706,0.6211509604787974,0.28597509363929025,0.6159934704121216
10,TeiQueSF_sociability,0.6392994627632141,0.04790077825661389,-0.04304963016366381,0.08233576253174106,0.2914544373831432,0.014084525760292815,0.64489414401746,0.011431138881258343,0.2264807160862892,0.03452527254912418,0.6497251462212043,0.0525930992137982,0.5667040642239478,-0.009168608177406945,0.33714600311987997,0.6501205087372065,0.2718322481701536,0.6137653040724528
8,TeiQueSF_self_control,0.6622203725913766,0.008226737834909579,-0.13512434839880108,0.09280669165893009,0.2992226070476394,0.013226981313473678,0.6673162521951813,0.047301574971551144,0.1987953847363225,0.01110264020488109,0.6582873362547912,0.0515744598149162,0.612888632127871,-0.09627372468934281,0.33533449358232015,0.6195805895476106,0.22854521463592825,0.6176900605243659
77,STAXI_State_Anger,-0.1500053147341666,0.030954977026206896,-0.1564849182079875,0.05855715913061363,0.6858974358974358,0.0639421068694231,0.6858974358974358,0.1278842137388462,3.6602564102564106,0.26137029535737333,3.66025641025641,0.5227405907147464,-0.14748734332126712,-0.1694560669456071,0.6858974358974359,0.6923076923076923,3.66025641025641,3.3076923076923075
11,TeiQueSF_well_being,0.6138720465388495,0.05100914128566388,-0.09661141191953256,0.058847508063074934,0.35492659210576477,0.02479805308258009,0.750091958486721,0.06792795378532579,0.3351798294265282,0.03736835372592744,0.9512937283863442,0.16965712803070965,0.5297048215716835,-0.16425636225129958,0.4165443177450987,0.7739857821312157,0.412491713039754,0.8524612111157008
113,COPE_Alkohol‎_Drogen,-0.39982658769686247,0.062172041720830365,-0.40882435264551803,0.1138508457341428,0.782051282051282,0.06345830087571581,0.782051282051282,0.1269166017514316,2.1538461538461537,0.1285252413830988,2.1538461538461537,0.2570504827661977,-0.3965682617499733,-0.3928571428571428,0.782051282051282,0.5641025641025641,2.1538461538461537,1.1282051282051282
0,ERQ_reappraisal,0.5831001663381122,0.0074687590351329896,-0.1334111749559427,0.05328787162640928,0.3939800463331246,0.008433725727424441,0.8027672143659937,0.0367490138764834,0.40008270799695506,0.024858847875854708,1.0714527974038612,0.08735240711067505,0.5249088249148599,-0.15354306999613554,0.43671312539050927,0.9210642414674513,0.45734065523889256,1.2564341568667736
5,FSoZu_Zuf,0.6943172470615876,0.018052203432448576,-0.11290757261380195,0.04034440435106351,0.34384208873982985,0.018656117025059805,0.8188214728752273,0.03706632896033279,0.2650793117365164,0.02032592189267814,0.9482006619101679,0.08171564919873014,0.6266587794365036,-0.21587112497120642,0.40304701242671,0.950814066349095,0.32561503149491333,1.1982845603759622
119,COPE_Religion,-0.34449569771483163,0.014725740054621888,-0.346960678425105,0.03101526745354059,0.826923076923077,0.04079462199153155,0.826923076923077,0.08158924398306315,2.6730769230769234,0.21342399762290373,2.6730769230769234,0.42684799524580747,-0.34374419036995696,-0.4314845024469822,0.8269230769230769,0.5897435897435898,2.673076923076923,1.1538461538461537
110,COPE_BehavioralDisengagement,0.2799060369867163,0.17955666931825934,-0.4725207321340486,0.3387848887783301,0.44784498381359433,0.09483316213724101,0.8374102834441909,0.08832187224872157,0.5639172364972481,0.15318868572644714,1.078482844175789,0.16577445285779108,0.3843335579821421,-0.21824533167419014,0.4161611439269207,1.0456380820555857,0.4868460309907815,2.0440250403895672
36,NYC-Q_lemon_9,-0.2628878409853707,0.02696749297489824,-0.2658175098960173,0.05527602134904748,0.8653846153846153,0.06844280930789304,0.8653846153846154,0.136885618615786,3.608974358974359,0.3309828370109124,3.608974358974359,0.6619656740218248,-0.2618421619757769,-0.1671826625386994,0.8653846153846154,0.46153846153846156,3.608974358974359,1.4871794871794872
1,ERQ_suppression,0.6798744055295609,0.03384140736270692,-0.021802662171964766,0.04318960758257952,0.3962949349734592,0.03684397866741188,0.9206952411060989,0.04149540567350236,0.40278450672309535,0.06911696917852254,1.276116809584494,0.18497389538524645,0.538899700556712,-0.07557152571818171,0.5222589639992782,0.9973619118793752,0.5764416896824816,1.6587915229805554
37,NYC-Q_lemon_10,-0.2740987558273482,0.021827093846037756,-0.2753059447169502,0.04252773208875018,1.0,0.06844280930789307,1.0,0.13688561861578605,4.653846153846154,0.3535533905932738,4.653846153846154,0.7071067811865478,-0.27368421052631575,-0.19792802617230176,1.0,0.8461538461538461,4.653846153846154,4.333333333333333
116,COPE_Planning,0.6902839005510512,0.030300906166267846,-0.09886628841940104,0.10290375451853927,0.41823779812424,0.016025157497971135,1.0173828115227324,0.034895837240958426,0.43801018306970024,0.027021440142551253,1.5446290830928724,0.20393203107256686,0.5687633317500955,-0.33305838993326975,0.5158924945691263,1.024228127400465,0.614533516391629,1.4689058918659827
120,COPE_Denial,0.5163721447424287,0.10375323297418983,-0.1837761777211034,0.03422821135026042,0.4571797311380819,0.0551788539490837,1.072249654448364,0.08326080379453785,0.7587977326804322,0.1096739137314553,1.8714663310280368,0.3766158434782596,0.5510624779299275,-0.05342927844090162,0.48626984980325705,0.9386435514932052,0.7169976442429944,1.3768687741883714
115,COPE_Venting,0.6351853416715227,0.01506557403667208,-0.18962588011669648,0.18178401824764318,0.4960919462491347,0.008217154901533298,1.0983621322914943,0.06774417105914836,0.6205669869426822,0.021869365812464157,1.9305690172883636,0.16390062183148713,0.5563299433108005,-0.13047533038841386,0.5796628720792499,1.0576152765646611,0.7640984309647324,1.6648683366666976
108,COPE_SelfDistraction,0.6202861896290459,0.03731668841171691,-0.13003241322616396,0.0773193156248088,0.5148067522260144,0.055297493728005985,1.1642702826061944,0.08951772755943704,0.703541033884192,0.10024347117433109,2.058930303475989,0.3157653117796026,0.49954714179760906,-0.019878287285985285,0.6598131307179335,1.2021949197044843,0.9290746088398185,2.029028071878627
121,COPE_activeCoping,0.5175719968366348,0.06631926230612582,-0.14758513412230237,0.08019498847317814,0.6359382471531042,0.03593360965285463,1.183494294884674,0.07440295142987048,0.8624528922582974,0.11110065024839559,2.042710236326707,0.1961385013803917,0.4385633553588997,0.053215609752017,0.7132725459850114,0.8389602844157134,1.0076145172314552,1.0457579063883047
109,COPE_UseOfEmotionalSupport,0.5782895402601461,0.016288710038964063,-0.05328416265017344,0.06101166226821525,0.6472191330842104,0.041921826932334004,1.2115005946827047,0.05392679158304089,0.9572585134738053,0.09088677890403193,2.358896806233086,0.13445849859652806,0.2911931818317076,-0.07338030834203901,0.8727456062671621,1.0731276712976907,1.6080676051072318,1.9237572127155818
38,NYC-Q_lemon_11,-0.3866607048007933,0.01757848548000863,-0.40220178920136335,0.045134391352934025,1.2115384615384617,0.07732268001163345,1.2115384615384615,0.15464536002326695,5.314102564102564,0.8242478092291583,5.314102564102565,1.648495618458316,-0.381622383897952,-0.38209904588823296,1.2115384615384615,1.4871794871794872,5.314102564102564,8.0
111,COPE_positiveReframing,0.617235459580015,0.05006669984997685,-0.028502862101611497,0.08384708710352518,0.590174085458913,0.0717123482814458,1.22232560722298,0.07875012060786224,0.8511063985959365,0.15836669276428159,2.274449491912404,0.47069333286700443,0.5384653856595403,-0.4339561664772673,0.681010809413929,1.334680681366026,1.0204739697744678,2.89619549205665
118,COPE_SelfBlame,0.5823834147729688,0.03591349602267373,-0.1293312937676149,0.06827970503971671,0.6185269352938259,0.04560933878431781,1.2892071019805733,0.16208901764614592,1.0124033136490882,0.1585756240335129,2.697845526636621,0.5351640188699849,0.47338175804924565,-0.06734725306415612,0.7392475582293684,0.9585429926393073,1.2751709303777965,1.6350552923336512
117,COPE_Acceptance,0.5986209118004475,0.07885334534812022,-0.14802294684504366,0.11134088172725502,0.6029114860977586,0.03669675279957146,1.2982805775825363,0.09155889312308392,0.896868245774901,0.1852891240138459,2.5339942203439194,0.20594536667146968,0.5722325020908081,-0.11608217297005985,0.6460751710339804,1.319620204109011,0.9567114306460182,2.698849593809258
112,COPE_Humor,0.6330693994853341,0.06683367262770994,-0.10786147107161496,0.06289656578066526,0.640060873037106,0.051852086439166625,1.3612553233255147,0.022563461797601228,0.935197657608514,0.12722373381776586,2.7945317712585225,0.1125585115941232,0.5789589653768783,-0.05306032183796172,0.7151515511313147,1.091391001943099,1.0858208141414825,2.0784267496104936
64,BAS_Fun,0.6663399510553777,0.010066940048321949,-0.06948674120490106,0.07452191546140864,0.6102128843868416,0.02556803415464033,1.3921742239391584,0.11450050717166341,0.9243468645532218,0.062026976446125905,2.971330343601167,0.45058200974341645,0.5582137759628749,0.012178173342882959,0.7442015894510743,1.5088263436599199,1.2233353905906388,3.048544151432285
104,CERQ_BlamingOthers,0.5021362919531404,0.0541559144069605,-0.11257050728908302,0.07928557908935192,0.6944787281647642,0.05841302377774608,1.4031164052454919,0.18684341330982476,1.5424952254675635,0.33852519598579633,3.409428549813963,1.0770304000246709,0.4075056757964074,-0.13073008786567097,0.8018048728946245,1.540492537237205,1.8229620734331111,4.377211543295904
114,COPE_UseOfInstrumentalSupport,0.6470577571677886,0.06847720103884454,-0.35399587303834584,0.12632039214968246,0.6888765437518126,0.08254797321718232,1.5978231076260068,0.07077939899762123,1.0253283117674867,0.2316050548909679,3.6855914099186875,0.17201609516826527,0.5292464244907193,-0.09422832141059301,0.827074962980893,1.3800198778766992,1.3846182684655985,2.8546337799850314
68,LOT_Pessimism,0.6050633261708149,0.05339226014662656,-0.012949109212228915,0.07829418831057282,0.8301996182117583,0.029958468538732578,1.6903912148585647,0.11908361482235129,1.814733071572892,0.1253434658122553,4.679620372626535,0.8053882159881934,0.4472002284908273,-0.009894768143956512,1.0461323262755873,1.8359361765698488,2.567988452041563,5.534834179650243
103,CERQ_Catastrophizing,0.5190323301553302,0.06352259443861377,-0.06494504546528335,0.04548232937303071,0.8362879973170886,0.03361479165167193,1.7363336264867713,0.08743861479516968,2.408967178545714,0.27526169950313506,5.316451002914125,0.2060250208615691,0.4467870891773583,-0.0848861357791657,0.9731956964672207,1.7357788594914023,2.7835911465788663,5.6633766719832845
49,NYC-Q_lemon_22,-0.47266339844446253,0.05914491927019483,-0.4808774688114903,0.11384527092298198,1.7435897435897436,0.1807987791816726,1.7435897435897436,0.36159755836334484,9.512820512820513,1.207878408547663,9.512820512820513,2.4157568170953256,-0.4696800406297612,-0.3030781373322806,1.7435897435897436,1.2307692307692308,9.512820512820513,6.512820512820513
96,CERQ_SelfBlame,0.5442224300172482,0.041732001074788534,-0.13936141935960067,0.08990975581042902,0.8446933167019998,0.05707100324799101,1.7543310850809302,0.028094158373834804,2.115707091145046,0.1246697031937176,5.204353544852596,0.1947992509174518,0.5205636790213284,-0.04826373157196895,0.9420809557180502,2.1067629515734754,2.241782455490015,8.110432342629146
63,BAS_Drive,0.6261335087949953,0.03543738899170542,-0.17829067777223484,0.055770573656741665,0.7901468927182232,0.05561457830921894,1.7846719308758054,0.11646839842958921,1.57110023682257,0.09861423869192898,4.849599806291605,0.5505596636656547,0.48305653704841844,-0.13001198143278914,1.0166949705504054,1.7797506833629115,2.200068554603107,4.778591100970217
