,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.6016293438149514,0.03710543619985453,-0.15127528999205153,0.0641275484786484,0.21849358974447272,0.012423671272021203,0.3781263354698974,0.014724596898721524,0.0787337042052747,0.007298226840066061,0.22277010299988179,0.011861683779342538,0.5259880865316257,-0.1479621568531384,0.23887286324802423,0.3781303418781728,0.09428665364692866,0.22089822604645235
2,FSoZu_EU,0.6157149271752544,0.02936032747861457,-0.10213235570769297,0.11510543987192885,0.22987419871794904,0.006962172135388943,0.3940416666666673,0.013451213034845835,0.11045715685096125,0.009249747171457287,0.3119516786858973,0.08117369518299933,0.5133387011972277,-0.12527646458694952,0.2551618589743595,0.41776923076923084,0.14166031290064085,0.29822415705128164
6,FSoZu_Vert,0.4892008490011306,0.059194558256383534,-0.11433802156094745,0.10573782463007259,0.25907451923076924,0.027941805232105987,0.43479166666666663,0.07144690260413111,0.23161538962339745,0.03834161627554607,0.4958803285256412,0.14366089546240002,0.45085954670946315,0.1861433726015802,0.26622596153846156,0.2708012820512822,0.2513283353365385,0.23704042467948724
13,NEOFFI_Extraversion,0.5642719214901017,0.057095220548300546,-0.1969281111115846,0.11601952692723011,0.26305088141064187,0.005853559393385553,0.43578792735410565,0.029630978041422142,0.11336002451202731,0.007945747629805041,0.30583264111750336,0.014575719817005037,0.4629310567904358,-0.07181102432860675,0.29568643162543756,0.4475267094014808,0.1414500523070378,0.3471406350153357
14,NEOFFI_OpennessForExperiences,0.6318769154108091,0.01682002249708536,-0.2691460253734274,0.11957633406377063,0.2461985844040241,0.011211890405594198,0.45523904914976776,0.025031330597231984,0.0924455165781074,0.00730773294224562,0.3061227149623138,0.03245549202418938,0.5466838827738093,-0.18291359748450264,0.27395699786525146,0.371864316240205,0.1151524436342217,0.20720863047540306
3,FSoZu_PU,0.6254880220984619,0.03251830608767286,-0.15994668772975432,0.08043248192785965,0.2754887820512828,0.006572696635210579,0.4656730769230771,0.04982868023799565,0.1390568181089744,0.009590404810960212,0.42651929487179513,0.10754140142865753,0.5204500994959738,-0.11284042686953732,0.3065448717948727,0.3847564102564099,0.18062336858974376,0.28803617307692275
4,FSoZu_SI,0.6009872396274275,0.011983883494347017,-0.08667402796378136,0.01376152567912496,0.2907268772865726,0.003795107783390244,0.47437728937463913,0.005056277237328206,0.13261859505563683,0.001549566086071744,0.36133236524801937,0.02552742029098049,0.4726024186287163,-0.025655977001259878,0.3283150183126138,0.5228937728973398,0.1754926968832958,0.4442321101588507
16,NEOFFI_Conscientiousness,0.6213363175475952,0.028316420765959558,-0.08623998941074307,0.08140208102706388,0.2965311164517119,0.017837089825050938,0.5169457799149922,0.04560334968607957,0.14238233632077857,0.018563809252225345,0.4064474233793436,0.06530658374251452,0.5254451997123468,-0.14786367546139978,0.3302764423061329,0.5071955128263781,0.17803429014169525,0.38992691751984854
12,NEOFFI_Neuroticism,0.6243681083895734,0.03345726488165544,-0.14130706114179836,0.020628636564981,0.29076522435996316,0.01502836583123334,0.5178338675244648,0.04832182464333791,0.1313899962172101,0.014820242389483106,0.39471049346028525,0.05112691999205104,0.5350111183808709,-0.12499236476070563,0.32622996795081577,0.426367521360205,0.1631178466114403,0.28652829860170276
8,TeiQueSF_self_control,0.6268390247693664,0.03003510098498052,-0.057908854451671155,0.04846384388370004,0.36817975427307265,0.021436446326581603,0.6155769230760432,0.04368957790604563,0.2117083605981814,0.02262930611219303,0.5933161614096066,0.05156287927682787,0.5486660217355752,-0.08668330536714719,0.4063942307688545,0.7366666666757561,0.25635845797600193,0.6919479166793376
