,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.41479265876092253,0.00957453719466344,-0.15973066464800345,0.10910550149944108,0.23689589568941452,0.0094772238326628,0.37073402617043033,0.023346960012163267,0.11637843021127259,0.0069579372385716615,0.22741064420305349,0.013406736477753645,0.37974779939076453,-0.10210482401484566,0.24518804038327338,0.37817573361350837,0.12351577901045448,0.2173575497562861
2,FSoZu_EU,0.2717145024160084,0.05267984052372303,-0.1286472454127141,0.077482223686989,0.26629591707023353,0.01018815800176452,0.3981189878894639,0.029797509773817368,0.218870390417187,0.031106230388779486,0.33637816417822225,0.0963028833786708,0.24811738124437221,-0.12910066772130402,0.27650583506367465,0.3564308199356358,0.22754799343807575,0.24431927137438236
6,FSoZu_Vert,0.31629123294022105,0.09612138990851621,-0.04716726329729182,0.04053740645958071,0.26482017596864366,0.03104386916784508,0.39933519687245894,0.05972696925559982,0.27642941200204957,0.08413779082102085,0.41004467742939205,0.18495453576689655,0.28052482818746316,-0.056786737034895785,0.2743234801581351,0.37822186679813696,0.2859156963592638,0.5798083708452467
3,FSoZu_PU,0.3387726370054041,0.012519037860753814,-0.1144596778985556,0.06809322737901119,0.28172699752621005,0.017853172382695112,0.423809519678817,0.028557237220274236,0.2096029107610681,0.017571350251246273,0.35410589348761573,0.08918318954527321,0.32266018879471026,0.05217224380540686,0.29276602220967934,0.40455469788617515,0.2157901768351211,0.46846745167445575
13,NEOFFI_Extraversion,0.42651291017337584,0.029224734572231882,-0.12315479118888757,0.07363422667560798,0.28171820108140105,0.012508291524524968,0.4258700519146667,0.04273243293042706,0.1586401839138661,0.012799036764763358,0.307591571946511,0.05750121933482696,0.394124917976564,-0.14729098824763787,0.2901896608395295,0.4336243459533165,0.16855779691856376,0.309022228432954
14,NEOFFI_OpennessForExperiences,0.40580575606399566,0.025204852773122576,-0.18506029842065078,0.0710655953712862,0.2850151883306866,0.008728518525061143,0.4415884978505213,0.02727672620529286,0.1467795514413572,0.009654911284632898,0.2838851680525499,0.031815689076133614,0.3727409704504191,-0.16503407272790538,0.29873621279519624,0.39696632353496775,0.15630498628152312,0.23273659881264983
4,FSoZu_SI,0.31773954456075676,0.0534848913756418,-0.13395318551691782,0.14836769862314445,0.3333867119619201,0.024048439676932633,0.4844656433586462,0.04780437859806839,0.25355871310118827,0.03491700223089322,0.41728275946093224,0.07802624894408702,0.2856332695655278,-0.05722187102157528,0.3455479960054636,0.4662524656115113,0.26497725275841905,0.29741058847307306
12,NEOFFI_Neuroticism,0.382209605655804,0.02992828848280394,-0.1759095420580216,0.03127162856106,0.3229189127569628,0.0081229906283493,0.4966939484508823,0.03967531932235108,0.20216782705604666,0.013000855934490482,0.3815420118045742,0.07514503136173056,0.3603030919358118,-0.06545423309040133,0.3340151307659065,0.4989974598693705,0.21129644585632157,0.3821594188339417
16,NEOFFI_Conscientiousness,0.29055598626773116,0.01248029891520315,-0.15986262086161948,0.04791180981423209,0.3575829144634876,0.016841691939814895,0.5301616194065165,0.06158929073226341,0.25897517906747874,0.020791325728665266,0.4186404457742164,0.07537385483450752,0.2723788671903471,-0.1492274124812052,0.37010396229257597,0.5251443488271972,0.26711462493946014,0.4095628557147532
10,TeiQueSF_sociability,0.3794922389914331,0.04925022787615722,-0.04505610729071241,0.06147306368376653,0.42899947644372016,0.028731492625298664,0.6001305734940408,0.05559752119266329,0.3476030851664416,0.05754735919530421,0.5819486210543394,0.15814219185140116,0.34890280130334306,0.02198703241321409,0.4423161154026471,0.7248244807875553,0.3645833960648584,0.8584494712641014
