,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.5802410179136033,0.007797198948894794,-0.10643496707310396,0.03949632660602053,0.17808681902560744,0.008605820144712823,0.3671048336848195,0.01779148342487645,0.08305443151484665,0.004417694881048995,0.21912492526779706,0.024663218021165494,0.5250933099151772,-0.04076196376365826,0.2021400993341318,0.36971892587206373,0.09396213514671414,0.21170295040160014
6,FSoZu_Vert,0.541956422094661,0.1824774551622405,-0.164716132243661,0.040502263930566544,0.13752387162461818,0.03363338566419803,0.40045491929826266,0.06758053419294678,0.17399411418010113,0.0687402914254518,0.4549018177874995,0.21417317795259355,0.5315107303606077,0.002913930659695141,0.1466962622922119,0.37446430216850485,0.19067990695998438,0.5087040038185907
2,FSoZu_EU,0.5956981716600902,0.03455338280241046,-0.10129995507075311,0.09461842403242195,0.1669103595816054,0.02012699055520823,0.43028388990953054,0.0634023446339483,0.13060073588628382,0.03101613270849488,0.3548640441544664,0.12545495616279054,0.4875349347665928,0.011572512869143625,0.2039832238220108,0.2929994363839158,0.16404167620480764,0.14283784462285487
14,NEOFFI_OpennessForExperiences,0.6238520693128145,0.02241324428353851,-0.33963843998304344,0.24773539306545314,0.18999144276927957,0.014604571422313915,0.4350690125352057,0.03747406740472172,0.08571003445540364,0.010958226175743088,0.2821501732305787,0.04736005687242848,0.5473629973767227,-0.14496830240546377,0.22325114846442176,0.4455119048647526,0.10507105909246206,0.2995410718978555
13,NEOFFI_Extraversion,0.5772062540691888,0.0466608235949977,-0.04811608143492718,0.07145450421511537,0.22837087911976364,0.01315029618187919,0.44031528793434066,0.019866086909257778,0.12897073117879662,0.013357013771229293,0.3149097337323758,0.04108770983023481,0.4599273491926755,-0.23271415682902763,0.26987731102688867,0.3429589900351907,0.16612010295874627,0.18776850802306322
4,FSoZu_SI,0.6286294855181335,0.010944346360472968,-0.038075400041888995,0.04531008678174138,0.2268232555689529,0.007874592945083457,0.47317044547763204,0.025444240774853764,0.13638627234840808,0.010023215964268885,0.3809720511298553,0.05232317312016436,0.5175839604882913,-0.11426149863825064,0.2649462053515819,0.5019818397055832,0.177224978286967,0.3377365489040511
3,FSoZu_PU,0.5689200622868571,0.020323099647348433,-0.26783034292451185,0.07164136712193436,0.19430692835617966,0.03237279330906221,0.49017012175880326,0.09431294825205006,0.1666319492143579,0.039212103112951556,0.47266917579092943,0.2349367711671838,0.48421058926835836,-0.1299319687369025,0.228427527601632,0.3367194542903253,0.20473889331310233,0.18013537395090337
12,NEOFFI_Neuroticism,0.6309960547993839,0.036304895929764915,-0.11104224783342224,0.035372330394549255,0.23082407760770654,0.008297685256641284,0.500304842215873,0.052192607616069135,0.12839191226291305,0.005116620964969899,0.3860557425062212,0.049631131591031594,0.5040489146802084,-0.02690294175795982,0.28221699105256987,0.40728965082108254,0.17398998504534582,0.2760050148677507
16,NEOFFI_Conscientiousness,0.5989727789354772,0.01442692685676486,-0.11656481839288468,0.07408860347315813,0.2373180846966261,0.010742765690319166,0.5031273637792529,0.03773144577555282,0.14358593833524316,0.009434854879937695,0.3927081899153985,0.05233005350540006,0.45303818975787125,-0.07412787621573824,0.2980675019145485,0.5162540164071016,0.19716234036433017,0.42228706975411345
9,TeiQueSF_emotionality,0.6333994197295397,0.009653314294002072,-0.03700512123779557,0.09899180520025028,0.2839511111565388,0.022335842941282665,0.5904902550464689,0.07600996715892755,0.20399586294856453,0.02342063830298285,0.5624440436868917,0.12187271492779427,0.5217008346057588,-0.10694955101996784,0.34452518025258033,0.7262641244910801,0.26757291743798123,0.7703297222755863
10,TeiQueSF_sociability,0.6252463653249895,0.030205682283240963,-0.015463107819507993,0.005834330589093996,0.29952296484249336,0.02021909929764963,0.635223101509501,0.030250538290305853,0.2354255165846674,0.02733946695933101,0.63441709234232,0.05074900232530449,0.5466833947709963,-0.1412232755099787,0.35777985803097434,0.704824464709372,0.28419784902445583,0.6939544557957047
77,STAXI_State_Anger,-0.160007735891339,0.024659476446653256,-0.19371029555141597,0.059933240895796665,0.6923076923076922,0.09421114395319918,0.6923076923076922,0.18842228790639834,3.551282051282051,0.8896641507432372,3.551282051282051,1.7793283014864747,-0.15601926163723934,-0.13471502590673579,0.6923076923076923,0.6666666666666666,3.551282051282051,3.7435897435897436
8,TeiQueSF_self_control,0.6852984006569346,0.028011380267239344,-0.13638823921441215,0.041024633014960524,0.29582402799852575,0.004491086025869906,0.6923544426738714,0.041235472231970764,0.18977520696496455,0.004987882793978858,0.679777462094715,0.050641892407220515,0.5947316888752949,0.023559344820457517,0.35199730164066334,0.5347354201068756,0.24650750699965257,0.4617211162935151
113,COPE_Alkohol‎_Drogen,-0.36589341672766956,0.05226870707877758,-0.3734674857097353,0.11181970294625801,0.7243589743589743,0.05996245812137724,0.7243589743589743,0.11992491624275452,1.967948717948718,0.11493859664769945,1.9679487179487178,0.22987719329539882,-0.36355094952025735,-0.5095440084835632,0.7243589743589743,0.7948717948717948,1.9679487179487178,1.8717948717948718
11,TeiQueSF_well_being,0.5804528498522269,0.052340387459238136,-0.05153079950712969,0.05682441280964975,0.36342434687811753,0.033899546075916547,0.7424038893449426,0.05784895578005071,0.362594202780315,0.0654074682389426,0.9000552908264948,0.19484961728523012,0.42901417465036573,-0.1845919345849789,0.45087255741867366,0.7797750041008754,0.49362898253047494,0.9284019702024516
36,NYC-Q_lemon_9,-0.23223346496379818,0.022371931185292147,-0.23402607028622704,0.04264126336402548,0.7756410256410255,0.07864002657939292,0.7756410256410257,0.15728005315878588,3.198717948717949,0.40295485690029825,3.198717948717949,0.8059097138005963,-0.23165039634194584,-0.27423674343867166,0.7756410256410257,0.8205128205128205,3.198717948717949,3.128205128205128
0,ERQ_reappraisal,0.6210666969434727,0.034767291516286505,-0.16211430024636994,0.10067453311238438,0.3652017863876135,0.014772526727454131,0.7770518674548254,0.04314097164607177,0.35538216809019935,0.03847885382420696,1.0268242706477821,0.09146559744534714,0.48013124565226406,0.008661918549876857,0.46779666524864244,0.8935989815302816,0.49644636744804216,1.2217740354970563
110,COPE_BehavioralDisengagement,0.5838190099815611,0.04011833713413804,-0.04109976963247064,0.07294812908698185,0.3946096596517861,0.01691808867789728,0.8279785575301144,0.06388454851059037,0.43473003449623165,0.00655726539714956,1.0849794757380156,0.20319834128132588,0.18479474393708495,-0.4251024545683264,0.5979958307400951,0.6556797172281188,0.8613988806565525,0.9631856168943062
119,COPE_Religion,-0.3783535753844385,0.040246312312239144,-0.3834391259783822,0.0821898307843321,0.8333333333333334,0.0639421068694231,0.8333333333333334,0.12788421373884615,2.5384615384615388,0.22440475723351658,2.5384615384615388,0.44880951446703327,-0.376593279258401,-0.2315789473684211,0.8333333333333334,0.5641025641025641,2.5384615384615383,1.6923076923076923
5,FSoZu_Zuf,0.6730357602380659,0.050073090628147514,-0.14680233361305275,0.08666352354536033,0.3722881867946625,0.018898861192570778,0.8615169984744755,0.06910636174568313,0.2989758655384283,0.02956781178873231,1.037400427520162,0.0759509165764872,0.5066891923653305,-0.19682474296177377,0.4891132419293615,0.8203811790491096,0.4571881967205923,0.8797173324334404
37,NYC-Q_lemon_10,-0.2746167186594847,0.03631681909408404,-0.28268371070541426,0.06929355404070581,0.9038461538461539,0.12338702919820611,0.9038461538461539,0.2467740583964123,3.8141025641025643,0.689199456515511,3.814102564102564,1.3783989130310217,-0.2725702299181505,-0.2452107279693485,0.9038461538461539,1.2307692307692308,3.8141025641025643,7.6923076923076925
1,ERQ_suppression,0.6204557942313044,0.03757817134997124,-0.02495211901630782,0.02300516073058294,0.4626232761286349,0.033960165504999286,0.9218740477604572,0.04802545719227129,0.4930935463822685,0.05032861976914537,1.3273489846635265,0.07827879161195302,0.5040830536550609,-0.0444491032082881,0.5538683571228876,0.9443552235080201,0.6450972960386263,1.4093367706752862
116,COPE_Planning,0.5658274708049081,0.024881838732162865,-0.04869439154822419,0.07847220333101415,0.5005239337684406,0.03531295363634901,0.9960267069640644,0.08143669141088508,0.5892512227512995,0.05992661083058922,1.42561733424426,0.244921546024838,0.5161506635529909,-0.06857756589937525,0.5648524862921211,0.9804637223961302,0.6562663912492963,1.6538011769409133
120,COPE_Denial,0.6812994511544973,0.03851797454169429,-0.09895958750836893,0.06344681546770081,0.3854118608209948,0.015133940500565797,1.0148656803186447,0.028699802305012557,0.47121189968380345,0.05890700362194552,1.6187699865063854,0.042969239559543064,0.5770960642858518,-0.07805217248612917,0.47118028989362615,1.0931862257591511,0.6255280272011209,1.9236249810173274
121,COPE_activeCoping,0.6129654362650724,0.034772703477221195,-0.16723714708897122,0.022163727649774704,0.5306827874810378,0.006840444244871999,1.1159129880772698,0.058914984471804537,0.657495120207694,0.019799511514109695,1.9581199937730982,0.23555529025871505,0.25858760624622035,-0.08985883206687384,0.7945150960678204,1.012364594511679,1.2752622201733836,1.519066879672434
115,COPE_Venting,0.6484957511117612,0.025378435977609436,-0.09068394275528154,0.051934953245838515,0.5110848207691024,0.01726425578530681,1.116783772744845,0.10826095344651053,0.6215358377356506,0.022502226952068424,1.9178946359122613,0.23771581371136416,0.48051477785709007,-0.07186719418303378,0.6550390771015336,0.9011290602680478,0.9248954513892176,1.3713698618541643
108,COPE_SelfDistraction,0.6400137702553662,0.05086087449093528,-0.04964460951064731,0.029543640179727944,0.5362953325423506,0.04177269161367868,1.1436174889519342,0.026805208671400408,0.6982909729378425,0.1252130834333764,2.012313886841012,0.19664822684235006,0.4877813516812233,-0.041144558678358534,0.6922569961305536,1.0792499307902614,0.991665911223667,1.7085449168055113
109,COPE_UseOfEmotionalSupport,0.5312102236844473,0.004412803827735946,-0.13741781417295673,0.10213739211098334,0.6505557739171902,0.0258064018502759,1.1837829690645647,0.08982003555124994,0.9132090297154978,0.06788690520334549,2.175874415630948,0.3209725274111025,0.1636795128556704,-0.08973324701164098,0.9150732749745055,1.4929941247593403,1.6359041810294017,3.34586079128492
118,COPE_SelfBlame,0.512855015290263,0.02608337402912572,-0.17368230485657973,0.09678277911767973,0.6501396842746175,0.019165017857648473,1.2401408561156118,0.12694730637030105,1.0445792894260828,0.10751396311167646,2.5278752479109845,0.5683861320008983,0.46078250510645313,-0.07531021310394936,0.7081491619977692,1.2107631693237266,1.1575804899415871,2.7967963202098773
38,NYC-Q_lemon_11,-0.36418959277329394,0.029379811612456678,-0.3720905466702609,0.06180091345466207,1.2756410256410258,0.1135900329914702,1.2756410256410258,0.2271800659829404,6.121794871794871,0.8292800835280117,6.121794871794871,1.6585601670560235,-0.3620530449172146,-0.46545454545454557,1.2756410256410255,1.2307692307692308,6.121794871794871,4.769230769230769
112,COPE_Humor,0.6352515974002997,0.015426727173691814,-0.07406569702482842,0.07432053861050983,0.6103746052652428,0.03291401103283577,1.282868228848401,0.20235881831734567,0.8763372784012722,0.11067856479226058,2.569120567696665,0.8681895615914476,0.4900238199397261,-0.0055741443847436845,0.7471984670314671,1.296732479376389,1.2404055740519286,2.4686481624803642
104,CERQ_BlamingOthers,0.6077966054637843,0.014753737513330712,-0.07980290010047401,0.01570096359461754,0.5632372924585182,0.005137075643138866,1.2859607801934656,0.05999603588150188,1.0171190906711975,0.10714150368633159,2.7698261504268125,0.42540586272743497,0.5254412917692842,-0.1879027449518691,0.6743788777940833,1.9335195652698733,1.2319494144963716,6.805643997048381
117,COPE_Acceptance,0.611023329996547,0.07054671102738003,-0.08157666049406657,0.054369451085364624,0.6229322678648379,0.08214432581763839,1.2938489881593829,0.06317575568330115,0.9054929511188651,0.17722699323317329,2.483997963194613,0.2929628574728647,0.5273871083408199,-0.3373559655454319,0.7090779818640086,1.2376643296452996,1.105482258580176,2.5234790408385206
111,COPE_positiveReframing,0.5485840891575458,0.09647378532981837,-0.11437308509461304,0.05663626767376981,0.6556665250908518,0.10213153792448733,1.295431255284826,0.02925563480650834,1.0041823060915127,0.2219084596570191,2.4599964781319494,0.03128216605458342,0.5369809276172478,-0.0034251166861538618,0.6925063969208238,1.242590651489602,1.028702958809609,2.1783758943443
64,BAS_Fun,0.6064265832199259,0.011307932179681223,0.00602513174675275,0.0946110474869856,0.6576290471772542,0.03605389054316266,1.316106889796243,0.11072297284322419,1.0614033436732193,0.08638086115936097,2.6207787634745277,0.3716127600443321,0.5653648569521984,-0.01260796716699164,0.7104398616855113,1.5853031009508318,1.176958248144729,3.383348908049081
114,COPE_UseOfInstrumentalSupport,0.6005495136987641,0.021227819835553455,-0.16507557620447524,0.030019043521508908,0.73155787916052,0.02717765348479561,1.4637008287874853,0.14623832615172266,1.109060837555301,0.06481147509674424,3.2365329941926806,0.6385810965795347,0.37140731247589454,-0.21312890103503723,0.9330422062769314,1.7222039669517204,1.7565001861317284,3.8044870860862114
65,BAS_Reward,0.6608177805033769,0.02312903626996358,-0.06987960935976896,0.03982991383402291,0.7538796758305693,0.029544216689992412,1.6472704420140605,0.061788644397247384,1.2927918252944912,0.0979243809158696,4.053153624386229,0.1308296163674875,0.574407144616609,-0.01923650385265585,0.8871863413195401,1.5227708357677154,1.6242341402279674,3.447043113621343
63,BAS_Drive,0.6394656969041679,0.018295825605331294,-0.012662802506136198,0.05198487822775082,0.8001134495893619,0.018883174830358847,1.6606324604330327,0.04916753450292958,1.5533078467485637,0.1086767921545574,4.345704257514938,0.39930763749537324,0.5800234434280992,-0.0871708140028864,0.9022308877802899,1.709739606323378,1.8113905040868026,4.448751575512143
103,CERQ_Catastrophizing,0.5810871200512805,0.023242580202450444,-0.13399783724826309,0.10274296823398284,0.7679221295231494,0.04201065756717109,1.6725447468903178,0.21738566570377996,1.8879162218679817,0.30513637307369623,5.093390564547217,1.2845924480727888,0.4174651486768922,-0.14218772999612073,0.9660768995146912,2.1697761329473804,2.6170742040601045,8.34450365267383
49,NYC-Q_lemon_22,-0.4713320439183661,0.0160610055931505,-0.47376889069993827,0.034045331894874166,1.7435897435897436,0.03626188621469472,1.7435897435897436,0.07252377242938955,9.5,0.41632135592639824,9.5,0.8326427118527958,-0.4706121825861278,-0.2999999999999998,1.7435897435897436,1.2307692307692308,9.5,6.564102564102564
96,CERQ_SelfBlame,0.5877599564031044,0.0800485595860212,-0.11094598624300807,0.02958101697363749,0.8433456110871492,0.049891064637557055,1.8307875075458726,0.2212869911806421,2.090693400073486,0.45711382529542505,5.603727046553718,1.375495380146803,0.4619996493361622,-0.04174802577314374,1.023773737820141,1.9206414128037357,2.7483647104917948,6.008030034241957
79,STAXI_TAT,0.5371977920469911,0.062038264352997835,-0.06978712394196955,0.05803857410922036,0.9520366167849142,0.08103153966289184,1.859863106254796,0.028748050951307082,2.5805896158801587,0.44505049244294703,5.889831429992921,0.5513606590606541,0.47255562351868774,-0.04195745426781827,1.0595645022485367,1.693698391445625,2.9334325289125647,4.284287915181416
